Quarter,CPIAUCSL,UNRATE,GDP,index,GDP_MIL,DEBT_MIL
1974Q1,47.29999999999999,5.133333333333333,1491.209,108,1491.209,473675.0
1974Q2,48.56666666666666,5.2,1530.056,109,1530.056,474235.0
1974Q3,49.93333333333334,5.633333333333333,1560.026,110,1560.026,481466.0
1974Q4,51.46666666666667,6.6000000000000005,1599.679,111,1599.679,492664.0
1975Q1,52.56666666666666,8.266666666666666,1616.116,112,1616.116,509659.0
1975Q2,53.199999999999996,8.866666666666667,1651.853,113,1651.853,533188.0
1975Q3,54.26666666666667,8.466666666666667,1709.82,114,1709.82,553647.0
1975Q4,55.26666666666667,8.299999999999999,1761.831,115,1761.831,576649.0
1976Q1,55.9,7.733333333333333,1820.487,116,1820.487,600490.0
1976Q2,56.4,7.566666666666666,1852.332,117,1852.332,620432.0
1976Q3,57.300000000000004,7.733333333333333,1886.558,118,1886.558,634701.0
1976Q4,58.13333333333333,7.766666666666667,1934.273,119,1934.273,653543.0
1977Q1,59.199999999999996,7.5,1988.648,120,1988.648,669207.0
1977Q2,60.23333333333333,7.133333333333333,2055.909,121,2055.909,674425.0
1977Q3,61.06666666666666,6.8999999999999995,2118.473,122,2118.473,698840.0
1977Q4,61.96666666666667,6.666666666666667,2164.27,123,2164.27,718943.0
1978Q1,63.03333333333333,6.333333333333333,2202.76,124,2202.76,737951.0
1978Q2,64.46666666666667,6.0,2331.633,125,2331.633,749024.0
1978Q3,65.96666666666667,6.033333333333334,2395.053,126,2395.053,771544.0
1978Q4,67.5,5.8999999999999995,2476.949,127,2476.949,789207.0
1979Q1,69.2,5.866666666666667,2526.61,128,2526.61,796792.0
1979Q2,71.39999999999999,5.7,2591.247,129,2591.247,804913.0
1979Q3,73.7,5.866666666666667,2667.565,130,2667.565,826519.0
1979Q4,76.03333333333335,5.966666666666666,2723.883,131,2723.883,845116.0
1980Q1,79.03333333333333,6.3,2789.842,132,2789.842,863451.0
1980Q2,81.7,7.333333333333333,2797.352,133,2797.352,877614.0
1980Q3,83.23333333333333,7.666666666666667,2856.483,134,2856.483,907701.0
1980Q4,85.56666666666666,7.3999999999999995,2985.557,135,2985.557,930210.0
1981Q1,87.93333333333334,7.433333333333334,3124.206,136,3124.206,964531.0
1981Q2,89.76666666666667,7.3999999999999995,3162.532,137,3162.532,971174.0
1981Q3,92.26666666666667,7.3999999999999995,3260.609,138,3260.609,997855.0
1981Q4,93.76666666666667,8.233333333333334,3280.818,139,3280.818,1028729.0
1982Q1,94.60000000000001,8.833333333333334,3274.302,140,3274.302,1061299.0
1982Q2,95.96666666666665,9.433333333333334,3331.972,141,3331.972,1079630.0
1982Q3,97.63333333333333,9.9,3366.322,142,3366.322,1142035.0
1982Q4,97.93333333333334,10.666666666666666,3402.561,143,3402.561,1197074.0
1983Q1,98.0,10.366666666666667,3473.413,144,3473.413,1244493.0
1983Q2,99.13333333333333,10.133333333333333,3578.848,145,3578.848,1319581.0
1983Q3,100.10000000000001,9.366666666666667,3689.179,146,3689.179,1377211.0
1983Q4,101.10000000000001,8.533333333333333,3794.706,147,3794.706,1410702.0
1984Q1,102.53333333333335,7.866666666666667,3908.054,148,3908.054,1463741.0
1984Q2,103.5,7.433333333333334,4009.601,149,4009.601,1512697.0
1984Q3,104.39999999999999,7.433333333333334,4084.25,150,4084.25,1572267.0
1984Q4,105.3,7.3,4148.551,151,4148.551,1662966.0
1985Q1,106.26666666666667,7.233333333333333,4230.168,152,4230.168,1710731.0
1985Q2,107.23333333333333,7.3,4294.887,153,4294.887,1774640.0
1985Q3,107.89999999999999,7.2,4386.773,154,4386.773,1823103.0
1985Q4,109.0,7.033333333333334,4444.094,155,4444.094,1945942.0
1986Q1,109.56666666666666,7.033333333333334,4507.894,156,4507.894,1986816.0
1986Q2,109.03333333333335,7.166666666666667,4545.34,157,4545.34,2059349.0
1986Q3,109.7,6.966666666666666,4607.669,158,4607.669,2125304.0
1986Q4,110.46666666666665,6.833333333333333,4657.627,159,4657.627,2214835.0
1987Q1,111.8,6.599999999999999,4722.156,160,4722.156,2246724.0
1987Q2,113.06666666666666,6.266666666666667,4806.16,161,4806.16,2309296.0
1987Q3,114.26666666666667,6.0,4884.555,162,4884.555,2350277.0
1987Q4,115.33333333333333,5.833333333333333,5007.994,163,5007.994,2431715.0
1988Q1,116.23333333333333,5.7,5073.372,164,5073.372,2487551.0
1988Q2,117.56666666666666,5.466666666666666,5190.036,165,5190.036,2547656.0
1988Q3,119.0,5.466666666666666,5282.835,166,5282.835,2602183.0
1988Q4,120.3,5.333333333333333,5399.509,167,5399.509,2684392.0
1989Q1,121.66666666666667,5.2,5511.253,168,5511.253,2740898.0
1989Q2,123.63333333333333,5.233333333333333,5612.463,169,5612.463,2799923.0
1989Q3,124.60000000000001,5.233333333333333,5695.365,170,5695.365,2857431.0
1989Q4,125.86666666666667,5.366666666666667,5747.237,171,5747.237,2952994.0
1990Q1,128.03333333333333,5.3,5872.701,172,5872.701,3051958.0
1990Q2,129.29999999999998,5.333333333333333,5960.028,173,5960.028,3143754.0
1990Q3,131.53333333333333,5.7,6015.116,174,6015.116,3233313.0
1990Q4,133.76666666666665,6.133333333333333,6004.733,175,6004.733,3364820.0
1991Q1,134.76666666666668,6.6000000000000005,6035.178,176,6035.178,3465189.0
1991Q2,135.56666666666666,6.833333333333333,6126.862,177,6126.862,3537988.0
1991Q3,136.6,6.866666666666667,6205.937,178,6205.937,3665303.0
1991Q4,137.73333333333332,7.1000000000000005,6264.54,179,6264.54,3801698.0
